combination,epoch,training_time,testing_time,system_time,explained_variance_score,mean_absolute_error,mean_squared_error,median_absolute_error,r2_score
"[4, 32, [8, 4], 'sigmoid']",1000,690,1,690,0.160270383,0.296925744,0.23161433,0.196293235,0.146731496
"[4, 32, [16, 4], 'tanh']",1000,699,0,699,0.168063327,0.293758073,0.225834579,0.20195508,0.168024132
"[4, 32, [16, 4], 'sigmoid']",1000,702,0,702,0.159772033,0.342694621,0.248612646,0.272268593,0.084109604
"[4, 32, [16, 8], 'tanh']",1000,707,1,707,0.173489765,0.305587801,0.244684945,0.199777901,0.098579277
"[4, 32, [16, 8], 'sigmoid']",1000,710,0,710,0.15521591,0.303299577,0.230758232,0.209898472,0.149885368
"[4, 32, [32, 4], 'tanh']",1000,723,0,723,-0.030782882,0.373471651,0.341638979,0.264839143,-0.258599936
"[4, 32, [32, 4], 'sigmoid']",1000,724,0,724,0.159980057,0.293814032,0.233294438,0.193096399,0.140541971
"[4, 32, [32, 8], 'tanh']",1000,733,0,733,0.101424399,0.324571676,0.270135027,0.215577781,0.004821029
"[4, 32, [32, 8], 'sigmoid']",1000,731,0,731,0.182235849,0.292087195,0.222721266,0.19754523,0.179493596
"[4, 32, [32, 16], 'tanh']",1000,742,0,742,0.008632544,0.312860827,0.287751628,0.196900785,-0.060078626
"[4, 32, [32, 16], 'sigmoid']",1000,743,0,743,0.154074015,0.338211909,0.248544442,0.25984621,0.084360868
"[5, 16, [4], 'tanh']",1000,1009,0,1009,0.157623724,0.508324972,0.446556968,0.425983056,-0.6451184
"[5, 16, [4], 'sigmoid']",1000,966,0,966,0.129014598,0.714932743,0.714729659,0.638946924,-1.633068111
"[5, 16, [8], 'tanh']",1000,-85439,0,-85439,0.148966837,0.537095491,0.474916903,0.453300416,-0.749596559
"[5, 16, [8], 'sigmoid']",1000,1021,1,1021,0.143473743,0.420608632,0.351816018,0.324627727,-0.296092203
"[5, 16, [16], 'tanh']",1000,991,0,991,-0.025778995,0.612538432,0.58705274,0.54923591,-1.162705619
"[5, 16, [16], 'sigmoid']",1000,1044,0,1044,0.130966561,0.66578498,0.638709009,0.591567673,-1.353007608
"[5, 16, [32], 'tanh']",1000,1106,0,1106,0.103869497,0.667939182,0.641042759,0.592746615,-1.361605156
"[5, 16, [32], 'sigmoid']",1000,1056,0,1056,0.146544738,0.395724016,0.328462729,0.29293555,-0.210058556
"[5, 16, [4, 2], 'tanh']",1000,1444,0,1444,0.139504642,0.311427375,0.255650846,0.206342518,0.058180834
"[5, 16, [4, 2], 'sigmoid']",1000,1452,0,1452,0.128902182,0.347758874,0.286246089,0.244825125,-0.054532214
"[5, 16, [8, 4], 'tanh']",1000,1468,0,1468,0.148548308,0.53338987,0.47887826,0.457091242,-0.764190222
"[5, 16, [8, 4], 'sigmoid']",1000,1500,0,1500,0.136632355,0.482002185,0.421130542,0.392997801,-0.551447302
"[5, 16, [16, 4], 'tanh']",1000,1492,0,1492,0.088349297,0.494529255,0.438121825,0.401512206,-0.614043285
"[5, 16, [16, 4], 'sigmoid']",1000,1519,0,1519,0.159271851,0.539182329,0.479436831,0.458891988,-0.766248003
"[5, 16, [16, 8], 'tanh']",1000,1488,0,1488,0.21233788,0.514837645,0.444250706,0.439584494,-0.636622118
"[5, 16, [16, 8], 'sigmoid']",1000,1486,0,1486,0.199773342,0.359232658,0.294407314,0.255843997,-0.084598212
"[5, 16, [32, 4], 'tanh']",1000,1510,0,1510,-0.170656485,0.49057599,0.49405956,0.3865574,-0.820118217
"[5, 16, [32, 4], 'sigmoid']",1000,1502,0,1502,0.20986876,0.432474604,0.363302177,0.343477726,-0.338407279
"[5, 16, [32, 8], 'tanh']",1000,1512,0,1512,0.013786942,0.434913443,0.394163654,0.329227805,-0.452101133
"[5, 16, [32, 8], 'sigmoid']",1000,1510,0,1510,0.121474761,0.511010955,0.462300385,0.422557771,-0.703117235
"[5, 16, [32, 16], 'tanh']",1000,1521,1,1521,-0.109223854,0.451058832,0.43012304,0.343853354,-0.584575715
"[5, 16, [32, 16], 'sigmoid']",1000,1517,0,1517,0.146432129,0.661382608,0.633727461,0.585968614,-1.334655556
"[5, 32, [4], 'tanh']",1000,487,0,487,0.189134635,0.393985753,0.278037964,0.340355456,-0.024293433
"[5, 32, [4], 'sigmoid']",1000,487,0,487,0.170845715,0.879666438,0.903110918,0.896938384,-2.327065737
"[5, 32, [8], 'tanh']",1000,499,0,499,0.166368248,0.326794059,0.23791747,0.247036695,0.123510692
"[5, 32, [8], 'sigmoid']",1000,525,0,525,0.163330898,0.740280678,0.675264033,0.744813621,-1.487676522
